data,PETR4
2015-12-11,6.1421
2015-12-14,6.1082
2015-12-15,6.2861
2015-12-16,6.176
2015-12-17,6.0997
2015-12-18,5.9473
2015-12-21,5.6253
2015-12-22,5.7524
2015-12-23,5.871
2015-12-28,5.6762
2015-12-29,5.6677
2015-12-30,5.6762
2016-01-04,5.8202
2016-01-05,5.6592
2016-01-06,5.422
2016-01-07,5.3034
2016-01-08,5.3119
2016-01-11,5.1594
2016-01-12,4.6849
2016-01-13,4.4647
2016-01-14,4.8205
2016-01-15,4.38
2016-01-18,4.0665
2016-01-19,3.9479
2016-01-20,3.753
2016-01-21,3.8123
2016-01-22,3.7361
2016-01-26,3.5582
2016-01-27,3.8716
2016-01-28,3.8971
2016-01-29,4.1004
2016-02-01,3.9987
2016-02-02,3.6429
2016-02-03,3.8039
2016-02-04,4.0072
2016-02-05,3.8462
2016-02-10,3.6514
2016-02-11,3.5836
2016-02-12,3.77
2016-02-15,3.8293
2016-02-16,3.7615
2016-02-17,3.9648
2016-02-18,3.8886
2016-02-19,3.7785
2016-02-22,4.2698
2016-02-23,4.1682
2016-02-24,4.1258
2016-02-25,4.1427
2016-02-26,4.1258
2016-02-29,4.3545
2016-03-01,4.4986
2016-03-02,4.7866
2016-03-03,5.566
2016-03-04,6.1167
2016-03-07,6.2438
2016-03-08,6.3285
2016-03-09,6.4386
2016-03-10,6.7351
2016-03-11,6.8537
2016-03-14,6.2692
2016-03-15,5.5999
2016-03-16,6.1252
2016-03-17,6.8622
2016-03-18,6.8792
2016-03-21,6.8283
2016-03-22,6.8707
2016-03-23,6.5911
2016-03-24,6.6165
2016-03-28,7.1503
2016-03-29,7.1926
2016-03-30,7.1503
2016-03-31,7.074
2016-04-01,7.0825
2016-04-04,6.4217
2016-04-05,6.6335
2016-04-06,6.4217
2016-04-07,6.5233
2016-04-08,6.9978
2016-04-11,7.1079
2016-04-12,7.6501
2016-04-13,8.0567
2016-04-14,7.7602
2016-04-15,8.2092
2016-04-18,7.828
2016-04-19,8.1499
2016-04-20,8.0313
2016-04-22,8.2601
2016-04-25,7.9043
2016-04-26,8.1923
2016-04-27,8.6837
2016-04-28,8.6667
2016-04-29,8.6667
2016-05-02,8.6159
2016-05-03,8.2855
2016-05-04,8.4041
2016-05-05,8.3109
2016-05-06,8.5396
2016-05-09,8.0313
2016-05-10,8.6498
2016-05-11,8.6837
2016-05-12,8.294
2016-05-13,8.0144
2016-05-16,8.2601
2016-05-17,8.0483
2016-05-18,7.8958
2016-05-19,7.5908
2016-05-20,7.54
2016-05-23,7.2011
2016-05-24,7.2265
2016-05-25,7.3451
2016-05-27,6.9723
2016-05-30,7.0994
2016-05-31,6.8114
2016-06-01,6.93
2016-06-02,7.1164
2016-06-03,7.2604
2016-06-06,7.1672
2016-06-07,7.3028
2016-06-08,7.9551
2016-06-09,7.7772
2016-06-10,7.4383
2016-06-13,7.3028
2016-06-14,7.0317
2016-06-15,7.2096
2016-06-16,7.2011
2016-06-17,7.5823
2016-06-20,7.7772
2016-06-21,8.0737
2016-06-22,7.9127
2016-06-23,8.1923
2016-06-24,7.8365
2016-06-27,7.4383
2016-06-28,7.7941
2016-06-29,8.0483
2016-06-30,7.9805
2016-07-01,8.3194
2016-07-04,8.3617
2016-07-05,7.8704
2016-07-06,8.0483
2016-07-07,8.0991
2016-07-08,8.3363
2016-07-11,8.7769
2016-07-12,9.0225
2016-07-13,9.0056
2016-07-14,9.2598
2016-07-15,9.336
2016-07-18,9.785
2016-07-19,9.9799
2016-07-20,10.0138
2016-07-21,10.0392
2016-07-22,10.1154
2016-07-25,10.1917
2016-07-26,10.0646
2016-07-27,9.7511
2016-07-28,9.6918
2016-07-29,10.0561
2016-08-01,9.5309
2016-08-02,9.624
2016-08-03,10.0815
2016-08-04,10.1747
2016-08-05,9.8697
2016-08-08,10.09
2016-08-09,10.0646
2016-08-10,9.7935
2016-08-11,10.251
2016-08-12,10.1662
2016-08-15,10.4289
2016-08-16,10.5814
2016-08-17,10.8101
2016-08-18,10.9118
2016-08-19,10.8355
2016-08-22,10.4628
2016-08-23,10.7339
2016-08-24,10.5051
2016-08-25,10.6153
2016-08-26,10.6322
2016-08-29,10.9033
2016-08-30,11.0897
2016-08-31,10.8864
2016-09-01,11.0134
2016-09-02,11.4963
2016-09-05,11.7166
2016-09-06,11.8437
2016-09-08,12.047
2016-09-09,11.4455
2016-09-13,11.0219
2016-09-14,11.1066
2016-09-15,11.4455
2016-09-16,11.149
2016-09-19,11.0558
2016-09-20,11.437
2016-09-21,11.5726
2016-09-22,11.8606
2016-09-23,11.598
2016-09-26,11.3523
2016-09-27,11.1151
2016-09-28,11.7335
2016-09-29,11.3777
2016-09-30,11.4963
2016-10-03,11.8352
2016-10-04,11.8776
2016-10-05,12.352
2016-10-06,12.7925
2016-10-07,12.9281
2016-10-10,13.3263
2016-10-11,13.0382
2016-10-13,13.3517
2016-10-14,13.7753
2016-10-17,14.3175
2016-10-18,14.758
2016-10-19,14.9274
2016-10-20,15.0291
2016-10-21,15.207
2016-10-24,15.4188
2016-10-25,15.2494
2016-10-26,15.3341
2016-10-27,15.3256
2016-10-28,15.3256
2016-10-31,14.9867
2016-11-01,14.2836
2016-11-03,13.6651
2016-11-04,13.5465
2016-11-07,14.5801
2016-11-08,14.4361
2016-11-09,14.1057
2016-11-10,13.1314
2016-11-11,11.8691
2016-11-14,11.8606
2016-11-16,12.4875
2016-11-17,12.1063
2016-11-18,12.3012
