Período;TOTAL Geral
01/02/2000;145.349
01/03/2000;136.288
01/04/2000;154.529
01/05/2000;171.508
01/06/2000;161.747
01/07/2000;167.052
01/08/2000;190.293
01/09/2000;166.312
01/10/2000;181.496
01/11/2000;177.695
01/12/2000;207.604
01/01/2001;174.890
01/02/2001;172.977
01/03/2001;220.286
01/04/2001;194.456
01/05/2001;212.538
01/06/2001;185.416
01/07/2001;197.010
01/08/2001;198.014
01/09/2001;161.258
01/10/2001;186.212
01/11/2001;182.367
01/12/2001;182.102
01/01/2002;174.253
01/02/2002;150.704
01/03/2002;188.084
01/04/2002;206.983
01/05/2002;187.756
01/06/2002;162.470
01/07/2002;185.152
01/08/2002;190.866
01/09/2002;190.763
01/10/2002;206.661
01/11/2002;179.182
01/12/2002;193.677
01/01/2003;178.662
01/02/2003;187.616
01/03/2003;168.698
01/04/2003;176.596
01/05/2003;176.934
01/06/2003;163.518
01/07/2003;187.475
01/08/2003;166.492
01/09/2003;194.746
01/10/2003;216.916
01/11/2003;199.006
01/12/2003;246.198
01/01/2004;175.592
01/02/2004;164.659
01/03/2004;223.751
01/04/2004;188.860
01/05/2004;195.781
01/06/2004;202.474
01/07/2004;210.351
01/08/2004;204.344
01/09/2004;210.452
01/10/2004;208.787
01/11/2004;216.601
01/12/2004;272.484
01/01/2005;179.894
01/02/2005;181.070
01/03/2005;233.473
01/04/2005;219.035
01/05/2005;229.208
01/06/2005;238.312
01/07/2005;220.289
01/08/2005;242.966
01/09/2005;230.122
01/10/2005;218.215
01/11/2005;253.055
01/12/2005;295.293
01/01/2006;225.579
01/02/2006;214.831
01/03/2006;276.795
01/04/2006;222.414
01/05/2006;286.686
01/06/2006;248.810
01/07/2006;269.106
01/08/2006;291.784
01/09/2006;266.008
01/10/2006;288.032
01/11/2006;299.175
01/12/2006;335.940
01/01/2007;272.849
01/02/2007;253.907
01/03/2007;333.823
01/04/2007;307.560
01/05/2007;356.102
01/06/2007;329.220
01/07/2007;359.491
01/08/2007;390.286
01/09/2007;347.835
01/10/2007;415.422
01/11/2007;397.957
01/12/2007;406.672
01/01/2008;360.455
01/02/2008;339.877
01/03/2008;383.263
01/04/2008;435.072
01/05/2008;408.430
01/06/2008;430.921
01/07/2008;486.764
01/08/2008;418.377
01/09/2008;452.968
01/10/2008;389.320
01/11/2008;301.978
01/12/2008;338.209
01/01/2009;321.492
01/02/2009;306.059
01/03/2009;410.628
01/04/2009;360.923
01/05/2009;381.671
01/06/2009;434.479
01/07/2009;429.103
01/08/2009;394.669
01/09/2009;448.374
01/10/2009;427.383
01/11/2009;384.221
01/12/2009;450.955
01/01/2010;334.801
01/02/2010;341.762
01/03/2010;517.039
01/04/2010;420.809
01/05/2010;394.905
01/06/2010;401.374
01/07/2010;450.212
01/08/2010;471.266
01/09/2010;467.435
01/10/2010;453.052
01/11/2010;486.950
01/12/2010;578.965
01/01/2011;377.870
01/02/2011;419.422
01/03/2011;466.418
01/04/2011;435.278
01/05/2011;487.195
01/06/2011;466.094
01/07/2011;466.386
01/08/2011;508.691
01/09/2011;486.150
01/10/2011;426.701
01/11/2011;488.226
01/12/2011;541.918
01/01/2012;410.486
01/02/2012;384.125
01/03/2012;466.208
01/04/2012;390.090
01/05/2012;437.354
01/06/2012;477.143
01/07/2012;502.653
01/08/2012;560.690
01/09/2012;403.348
01/10/2012;476.370
01/11/2012;433.529
01/12/2012;497.318
01/01/2013;437.889
01/02/2013;336.995
01/03/2013;407.751
01/04/2013;474.606
01/05/2013;446.388
01/06/2013;443.606
01/07/2013;476.494
01/08/2013;458.267
01/09/2013;427.601
01/10/2013;453.733
01/11/2013;425.145
01/12/2013;494.400
01/01/2014;446.252
01/02/2014;378.829
01/03/2014;353.013
01/04/2014;414.983
01/05/2014;420.048
01/06/2014;367.428
01/07/2014;415.776
01/08/2014;383.774
01/09/2014;416.124
01/10/2014;427.198
01/11/2014;406.593
01/12/2014;497.734
01/01/2015;362.441
01/02/2015;279.750
01/03/2015;359.179
01/04/2015;327.526
01/05/2015;318.199
01/06/2015;313.650
01/07/2015;335.360
01/08/2015;307.164
01/09/2015;298.189
01/10/2015;281.196
01/11/2015;300.569
01/12/2015;359.054
01/01/2016;251.503
01/02/2016;233.470
01/03/2016;282.553
01/04/2016;256.421
01/05/2016;253.987
01/06/2016;252.766
01/07/2016;260.511
01/08/2016;264.249
01/09/2016;229.610
01/10/2016;223.787
01/11/2016;251.484
01/12/2016;288.011
01/01/2017;214.801
01/02/2017;196.153
01/03/2017;271.992
